Name,Abbreviation,Description
Accuracy,,"Accuracy is the measurement of the deviation between the command characteristic and the attained characteristic (R15.05-2), or the precision with which a computed or calculated robot position can be attained. Accuracy is normally worse than the arm's repeatability. Accuracy is not constant over the workspace, due to the effect of link kinematics."
Artificial Intelligence Level 0,AL0,No Automation
Artificial Intelligence Level 1,AL1,Driver Assistance
Artificial Intelligence Level 2,AL2,Partial Automation
Artificial Intelligence Level 2+,AL2+,Advanced Partial Automation
Artificial Intelligence Level 3,AL3,Conditional Automation
Artificial Intelligence Level 4,AL4,High Automation
Artificial Intelligence Level 5,AL5,Full Automation
Autonomous Guided Vehicles,AGV,
Autonomous Mobile Robots,AMR,
Base,,The stable platform to which an industrial robotic arm is attached.
Base Coordinate System,,The Base Coordinate System (sometimes referred to as World Coordinate System) defines a common reference point for a cell or application. This is useful when using multiple robots or devices as positions defined in Base Coordinates will be the same for all robots and devices. (see figure at right)
Base Link,,The stationary base structure of a robot arm that supports the first joint.
Capability Development Document,CDD,
Capital Expenditure,CAPEX,
Cartesian Coordinates,,"Cartesian Coordinates is a type of coordinate system that specifies the location of a point in two dimensional space by a pair of numerical numbers, which further specify the distance to fixed axes that are perpendicular to each other. In simple terms, an XY graph represents a two dimensional Cartesian Coordinate System. When a point is specified in a three dimensional space (XYZ graph), it constitutes a three dimensional Cartesian coordinate system. A robot’s TCP position is specified in a Cartesian Coordinate."
Centrifugal Force,,"When a body rotates about an axis other than one at it's center of mass, it exerts an outward radial force called centrifugal force upon the axis, which restrains it from moving in a straight tangential line. To offset this force, the robot must exert an opposing torque at the joint of rotation."
Closed-loop,CL,"Control achieved by a robot manipulator by means of feedback information. As a manipulator is in action, its sensors continually communicate information to the robot's controller, which is used to further guide the manipulator within the given task. Many sensors are used to feed back information about the manipulator's placement, speed, torque, applied forces, as well as the placement of a targeted moving object, etc. See Feedback."
Collaborative Robot,,Term used to describe a robot system designed to operate in one or more of the four collaborative modes.
Command Position,,The endpoint position of a robot motion that the controller is trying to achieve.
Computer Aided Design,CAD,"Computer Aided Design (CAD). Computer graphic applications designed to allow engineering of objects (or parts), which are to be manufactured. A computer is used as a tool to design schematics and produce blueprints, which enable the accurate production of the object. The CAD system enables the three dimensional drawings of basic figures, exact sizing and placement of components, making lines of specified length, width, or angle, as well as satisfying varying geometric shapes. This system also allows the designer to test a simulated part under different stresses, loads, etc."
Concept of Operations,CONOPS,
Critical Technology Elements,CTE,
Dead reckoning,,"The process of calculating one's position, especially at sea, by estimating the direction and distance traveled rather than by using landmarks, astronomical observations, or electronic navigation methods"
Degrees of Freedom,,"The number of independent directions or joints of the robot (R15.07), which would allow the robot to move its end effector through the required sequence of motions. For arbitrary positioning, 6 degrees of freedom are needed: 3 for position (left-right, forward-backward and up- down), and 3 for orientation (yaw, pitch and roll)."
Direct-drive,,"Joint actuation, including no transmission elements (i.e., the link is bolted onto the output of the motor.)"
Distance,,
Downtime,,"A period of time, in which, a robot or production line is shut down, due to malfunction or failure. See Uptime."
Electrical Interface Control Drawing,EICD,
Electronic component,,An electronic component is any basic discrete device or physical entity in an electronic system used to affect electrons or their associated fields.
Encoder,,"A feedback device in the robot manipulator arm that provides current position (and orientation of the arm) data to the controller. A beam of light passes through a rotating code disk that contains a precise pattern of opaque and transparent segments on its surface. Light that is transmitted through the disk strikes photo-detectors, which convert the light pattern to electrical signals. See Feedback, Closed-loop Control and Feedback Sensor."
End-effector,EE,"An accessory device or tool, specifically designed for attachment to the robot wrist or tool mounting plate to enable the robot to perform its intended task. (Examples may include: gripper, spot weld gun, arc weld gun, spray point gun or any other application tools.) (R15.06)"
Engineering & Manufacturing Development,EMD,
Engineering Development Unit,EDU,
Error,,The difference between the actual response of a robot and a command issued.
Expandability,,"Being able to add resources to the system, such as memory, larger hard drive, new I/O card, etc."
External Force Limit,,"The threshold limit where the robot moves to or retains position, even when external forces are applied (provided that forces do not exceed limits that would cause an error)."
Feedback,,The return of information from a manipulator or sensor to the processor of the robot to provide self-correcting control of the manipulator.
Feedback Control,,"A type of system control obtained when information from a manipulator or sensor is returned to the robot controller in order to obtain a desired robot effect. See Feedback, Closed-loop Control and Feedback Sensor."
Feedback Sensor,,A mechanism through which information from sensing devices is fed back to the robot's control unit. The information is utilized in the subsequent direction of the robot's motion. See Closed-loop Control and Feedback Control.
Flexibility,,The ability of a robot to perform a variety of different tasks.
Force Feedback,,A sensing technique using electrical signals to control a robot end-effector during the task of the end-effector. Information is fed from the force sensors of the end-effector to the robot control unit during the particular task to enable enhanced operation of the end-effector.
Force Sensor,,A sensor capable of measuring the forces and torque exerted by a robot and its wrist. Such sensors usually contain strain gauges. The sensor provides information needed for force feedback. See Force Feedback
